phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6259545,https://mpm.payback.de/redi?lid=5927652727930224970&amp;sid=2540887&amp;kid=521355&amp;bid=2098569&amp;c=46265&amp;keyword=&amp;sr=172&amp;clickurl=https://sanjayprinters.in/hr,http://www.phishtank.com/phish_detail.php?phish_id=6259545,2019-11-01T12:29:23+00:00,yes,2019-11-01T12:33:49+00:00,yes,Other
6259400,http://kuchkhasbate.info/wp-includes/SimplePie/HTTP/signin/myaccount/success/,http://www.phishtank.com/phish_detail.php?phish_id=6259400,2019-11-01T03:02:12+00:00,yes,2019-11-01T09:56:18+00:00,yes,Other
6259370,http://52.170.238.217/prime/mobile/,http://www.phishtank.com/phish_detail.php?phish_id=6259370,2019-11-01T00:26:31+00:00,yes,2019-11-01T00:27:23+00:00,yes,Bradesco
6259369,http://t4lh4s4lt.site/bootstrap-3.3.7/css/membermap/register_stats.php/tma/hmpwz/?missing=1cxypvb0wh7gp77,http://www.phishtank.com/phish_detail.php?phish_id=6259369,2019-11-01T00:22:37+00:00,yes,2019-11-01T00:24:01+00:00,yes,"ABSA Bank"
6259368,http://tiny.cc/m65gfz,http://www.phishtank.com/phish_detail.php?phish_id=6259368,2019-11-01T00:22:36+00:00,yes,2019-11-01T00:24:01+00:00,yes,"ABSA Bank"
6259358,http://smbclm.com,http://www.phishtank.com/phish_detail.php?phish_id=6259358,2019-10-31T23:48:15+00:00,yes,2019-10-31T23:55:24+00:00,yes,Other
6259347,http://inforef.16mb.com/facebook-confirm/index.htm?entry_source=NOTIFICATIONS&amp;ext=1571050844&amp;hash=AeRIKYH6cTNQJd_v&amp;notif_id,http://www.phishtank.com/phish_detail.php?phish_id=6259347,2019-10-31T23:34:49+00:00,yes,2019-10-31T23:35:46+00:00,yes,Facebook
6259346,http://inforef.16mb.com/facebook-confirm/,http://www.phishtank.com/phish_detail.php?phish_id=6259346,2019-10-31T23:34:25+00:00,yes,2019-10-31T23:35:46+00:00,yes,Facebook
6259331,"https://solicitarmultiplus.com/Bradesco/desktop/paravoce/index.php?html=11,00-49,31,10-1911,00-49,31,10-19",http://www.phishtank.com/phish_detail.php?phish_id=6259331,2019-10-31T23:07:35+00:00,yes,2019-10-31T23:08:52+00:00,yes,Bradesco
6259325,https://www.appauthy-safebr.com/authyapphref0982349823492843289href890324-023423043href90834890234appbr.com/dispositivotoken2019327873723434/classic/index.php?34.237.113.113&amp;31/10/2019%2018:14:56,http://www.phishtank.com/phish_detail.php?phish_id=6259325,2019-10-31T23:00:29+00:00,yes,2019-10-31T23:01:34+00:00,yes,Other
6259323,http://34.239.148.242/bradesc0app8934908893893429href0923489723498234href9083420894234324appbr.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259323,2019-10-31T23:00:26+00:00,yes,2019-10-31T23:01:01+00:00,yes,Other
6259324,https://www.appauthy-safebr.com/authyapphref0982349823492843289href890324-023423043href90834890234appbr.com/dispositivotoken2019327873723434/classic/index.php?34.237.113.113&31/10/2019+20:00:26,http://www.phishtank.com/phish_detail.php?phish_id=6259324,2019-10-31T23:00:26+00:00,yes,2019-10-31T23:01:34+00:00,yes,Other
